experiment,accuracy,macro_f1
task1_binary_bow,0.9904513888888888,0.9774566711988736
task1_word_frequency,0.9913194444444444,0.9816624218372533
task2b_word2vec_ag,0.9791666666666666,0.9500421136244332
task2c_word2vec_nyt,0.9809027777777778,0.9539608799573341
task3_bert_finetuned,0.984375,0.9657135919383233
task2a_glove_pretrained,0.9800347222222222,0.9525672021012235
task3_bert_lr3e5,0.9844,0.9676
task1_binary_bow,0.9904513888888888,0.9774566711988736
task1_word_frequency,0.9913194444444444,0.9816624218372533
